closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
                  Astolfo |          2 |      Satchel, Safe 2 | BST                                                                                      |                                                      Astolfo
            Jokushu Chain |          2 |             Wardrobe | WHM,SCH                                                                                  |                                                jokushu chain
      Mochi. Chainmail +1 |          2 |           Wardrobe 3 | NIN                                                                                      |                                       mochizuki chainmail +1
            Wicce Petasos |          2 |                 Sack | BLM                                                                                      |                                                wicce petasos
         Rev. Leggings +1 |          2 |            NOT FOUND | PLD                                                                                      |                                        reverence leggings +1
             Sakonji Kote |          2 |                 Sack | SAM                                                                                      |                                                 sakonji kote
           Bagua Pants +1 |          2 |                 Sack | GEO                                                                                      |                                               bagua pants +1
         Mochi. Hatsuburi |          2 |               Locker | NIN                                                                                      |                                          mochizuki hatsuburi
            Wakido Kabuto |          2 |                 Sack | SAM                                                                                      |                                                wakido kabuto
             Plun. Bonnet |          2 |              Satchel | THF                                                                                      |                                           plunderer's bonnet
          Brioso Roundlet |          2 |                 Sack | BRD                                                                                      |                                              brioso roundlet
           Izdubar Mantle |          2 |                 Sack | RDM,RUN                                                                                  |                                               izdubar mantle
          Manibozho Brais |          2 |              Satchel | THF                                                                                      |                                              Manibozho brais
               Arch. Coat |          2 |                 Sack | BLM                                                                                      |                                              archmage's coat
        Hagondes Cuffs +1 |          2 |                 Sack | SCH,BLM                                                                                  |                                            Hagondes cuffs +1
                Focal Orb |          2 |           Wardrobe 3 | DRG                                                                                      |                                                    focal orb
          Regimen Mittens |          2 |                 Case | SMN                                                                                      |                                              regimen mittens
         Lethargy Chappel |          2 |            NOT FOUND | RDM                                                                                      |                                             lethargy chappel
         Orion Bracers +1 |          2 |               Locker | RNG                                                                                      |                                             orion bracers +1
         Futhark Boots +1 |          2 |            NOT FOUND | RUN                                                                                      |                                             futhark boots +1
                     Iris |          2 |               Locker | BLU                                                                                      |                                                         iris
               Mavi Scarf |          3 |             Wardrobe | BLU                                                                                      |                                                   mavi scarf
        Merlinic Dastanas |          3 |               Safe 2 | SMN                                                                                      |                                            merlinic dastanas
         Caller's Pendant |          3 |             Wardrobe | SMN                                                                                      |                                             caller's pendant
         Bagua Sandals +1 |          3 |                 Case | GEO                                                                                      |                                             bagua sandals +1
           Bagua Charm +1 |          3 |                 Safe | GEO                                                                                      |                                               bagua charm +1
             Diamond Ring |          3 |           Wardrobe 2 | GEO,RDM,BLM                                                                              |                                                 diamond ring
     Pastoralist's Mantle |          3 |                 Sack | BST                                                                                      |                                         pastoralist's mantle
          Rev. Surcoat +1 |          3 |            NOT FOUND | PLD                                                                                      |                                         reverence surcoat +1
       Beckoner's Horn +1 |          3 |              Satchel | SMN                                                                                      |                                           beckoner's horn +1
         Anchorite's Hose |          3 |              Satchel | MNK                                                                                      |                                             anchorite's hose
              Bhikku Hose |          3 |              Satchel | MNK                                                                                      |                                                  bhikku hose
        Skulk. Armlets +1 |          3 |               Safe 2 | THF                                                                                      |                                         skulker's armlets +1
           Theo. Pant. +1 |          3 |               Locker | WHM                                                                                      |                                      theophany pantaloons +1
              Shadow Ring |          3 |            NOT FOUND | RDM                                                                                      |                                                  shadow ring
             Theo. Cap +1 |          3 |              Satchel | WHM                                                                                      |                                             theophany cap +1
       Ankusa Trousers +1 |          3 |                 Sack | BST                                                                                      |                                           ankusa trousers +1
         Hachi. Kyahan +1 |          3 |           Wardrobe 4 | NIN                                                                                      |                                            hachiya kyahan +1
             Count's Garb |          3 |               Safe 2 | RDM,SCH,BLM                                                                              |                                                 count's garb
          Bagua Galero +2 |          3 |               Safe 2 | GEO                                                                                      |                                              bagua galero +2
         Cirque Scarpe +2 |          3 |            NOT FOUND | PUP                                                                                      |                                             cirque scarpe +2
         Skulker's Bonnet |          3 |                 Case | THF                                                                                      |                                             skulker's bonnet
             Runeist Coat |          3 |               Safe 2 | RUN                                                                                      |                                                 runeist coat
           Uk'uxkaj Boots |          3 |                 Safe | SCH                                                                                      |                                               Uk'uxkaj boots
        Futhark Mitons +1 |          3 |            NOT FOUND | RUN                                                                                      |                                            futhark mitons +1
        Handler's Earring |          3 |           Wardrobe 2 | BST,GEO                                                                                  |                                            handler's earring
        Channeler's Stone |          3 |             Wardrobe | RDM,SCH,BLM                                                                              |                                            channeler's stone
             Weike Torque |          3 |            NOT FOUND | RDM                                                                                      |                                                 weike torque
            Pantin Taj +1 |          3 |               Safe 2 | PUP                                                                                      |                                                pantin taj +1
         Vanir Cotehardie |          3 |            NOT FOUND | RDM                                                                                      |                                             vanir cotehardie
        Vishap Greaves +3 |          3 |           Wardrobe 4 | DRG                                                                                      |                                            vishap greaves +3
          Automat. Oil +2 |          3 |               Safe 2 | PUP                                                                                      |                                      can of automaton oil +2
           Sekhmet Corset |          3 |             Wardrobe | GEO,RDM,BLM                                                                              |                                               Sekhmet corset
         Peda. M.Board +1 |          3 |                 Case | SCH                                                                                      |                                      pedagogy mortarboard +1
        Obviation Cuirass |          3 |               Locker | PLD                                                                                      |                                            obviation cuirass
           Geomancy Pants |          3 |               Safe 2 | GEO                                                                                      |                                               geomancy pants
         Tot. Jackcoat +1 |          3 |               Locker | BST                                                                                      |                                          totemic jackcoat +1
              Witful Belt |          3 |            NOT FOUND | RDM                                                                                      |                                                  witful belt
            Hattori Tekko |          3 |               Locker | NIN                                                                                      |                                                hattori tekko
          Laksa. Tricorne |          3 |            NOT FOUND | COR                                                                                      |                                         laksamana's tricorne
           Bagua Tunic +1 |          3 |                 Sack | GEO                                                                                      |                                               bagua tunic +1
           Runeist Mitons |          3 |                 Safe | RUN                                                                                      |                                               runeist mitons
            Shadow Mantle |          3 |            NOT FOUND | RDM,PLD                                                                                  |                                                shadow mantle
        Crusher Gauntlets |          3 |           Wardrobe 4 | DRG                                                                                      |                                          crusher's gauntlets
            Gelos Earring |          3 |           Wardrobe 2 | SMN                                                                                      |                                                gelos earring
           Comm. Charm +1 |          3 |             Wardrobe | COR                                                                                      |                                           commodore charm +1
          Gende. Spats +1 |          3 |               Locker | WHM,BRD                                                                                  |                                          Gendewitha spats +1
           Yaoyotl Gloves |          4 |              Satchel | WHM,BLM                                                                                  |                                               yaoyotl gloves
          Otronif Harness |          4 |               Safe 2 | NIN,MNK                                                                                  |                                              otronif harness
                Hes. Hose |          4 |               Locker | MNK                                                                                      |                                             hesychast's hose
       Fili Manchettes +1 |          4 |                 Sack | BRD                                                                                      |                                           fili manchettes +1
           Invidia Torque |          4 |            NOT FOUND | PLD                                                                                      |                                               invidia torque
          Lifestream Cape |          4 |                 Case | GEO                                                                                      |                                              lifestream cape
         Hashi. Basmak +1 |          4 |                 Case | BLU                                                                                      |                                          hashishin basmak +1
             Wicce Sabots |          4 |              Satchel | BLM                                                                                      |                                                 wicce sabots
         Pill. Armlets +1 |          4 |               Safe 2 | THF                                                                                      |                                        pillager's armlets +1
       Cirq. Pantaloni +2 |          4 |            NOT FOUND | PUP                                                                                      |                                          cirque pantaloni +2
             Thrace Strap |          4 |           Wardrobe 3 | GEO,RDM,SCH,BLM                                                                          |                                                 Thrace strap
           Sifahir Slacks |          4 |              Satchel | WHM                                                                                      |                                               sifahir slacks
             Rubeus Boots |          4 |                 Case | SMN                                                                                      |                                                 rubeus boots
       Beckoner's Bracers |          4 |               Safe 2 | SMN                                                                                      |                                           beckoner's bracers
          Lancer's Torque |          4 |             Wardrobe | DRG                                                                                      |                                              lancer's torque
        Piety Pantaln. +1 |          4 |               Safe 2 | WHM                                                                                      |                                          piety pantaloons +1
              Iga Erimaki |          4 |             Wardrobe | NIN                                                                                      |                                                  iga erimaki
            Otronif Boots |          4 |             Wardrobe | NIN,MNK                                                                                  |                                                otronif boots
           Nukumi Gausape |          4 |               Safe 2 | BST                                                                                      |                                               nukumi gausape
         Geo. Mitaines +2 |          4 |               Safe 2 | GEO                                                                                      |                                         geomancy mitaines +2
         Lancer's Earring |          4 |           Wardrobe 2 | DRG                                                                                      |                                             lancer's earring
           Hag. Sabots +1 |          4 |                 Safe | SMN                                                                                      |                                           Hagondes sabots +1
         Glorious Earring |          4 |           Wardrobe 2 | WHM                                                                                      |                                             glorious earring
            Bihu Slippers |          4 |                 Sack | BRD                                                                                      |                                                bihu slippers
           Geomancy Tunic |          4 |           Wardrobe 4 | GEO                                                                                      |                                               geomancy tunic
            Gavialis Helm |          4 |               Locker | BST,WAR,PLD,SAM                                                                          |                                                gavialis helm
           Updraft Mantle |          4 |           Wardrobe 4 | DRG                                                                                      |                                               updraft mantle
        Ankusa Gaiters +1 |          4 |              Satchel | BST                                                                                      |                                            ankusa gaiters +1
         Navarch's Mantle |          4 |            NOT FOUND | COR                                                                                      |                                             navarch's mantle
                 Akademos |          4 |              Satchel | SCH                                                                                      |                                                     akademos
          Refraction Cape |          4 |            NOT FOUND | RDM                                                                                      |                                              refraction cape
        Nahtirah Trousers |          4 |           Wardrobe 4 | NIN,COR,THF                                                                              |                                            nahtirah trousers
            Apogee Slacks |          4 |                 Case | SMN                                                                                      |                                                apogee slacks
            Mallquis Ring |          4 |               Locker | SCH,BLM                                                                                  |                                                mallquis ring
          Aoidos' Earring |          4 |           Wardrobe 2 | BRD                                                                                      |                                              aoidos' earring
           Twilight Cloak |          4 |                 Sack | RDM,SCH                                                                                  |                                               Twilight cloak
         Mizu. Kubikazari |          4 |             Wardrobe | GEO,RDM,SCH,BLM                                                                          |                                       Mizukage-no-Kubikazari
               Foire Tobe |          4 |            NOT FOUND | PUP                                                                                      |                                                   foire tobe
               Vexer Ring |          4 |            NOT FOUND | PLD                                                                                      |                                                   vexer ring
               Animator P |          4 |           Wardrobe 3 | PUP                                                                                      |                                                   animator P
            Creed Earring |          4 |            NOT FOUND | PLD                                                                                      |                                                creed earring
            Peda. Loafers |          4 |               Locker | SCH                                                                                      |                                             pedagogy loafers
         Iuitl Wristbands |          4 |               Locker | BLU,RNG,THF                                                                              |                                             iuitl wristbands
      Futhark Trousers +1 |          4 |            NOT FOUND | RUN                                                                                      |                                          futhark trousers +1
        Anchoret's Mantle |          4 |              Satchel | MNK                                                                                      |                                            anchoret's mantle
            Eddy Necklace |          4 |             Wardrobe | RDM,RUN,SCH                                                                              |                                                eddy necklace
             Chironic Hat |          4 |                 Case | WHM,SCH,BRD                                                                              |                                                 chironic hat
             Arch. Gloves |          4 |               Locker | BLM                                                                                      |                                            archmage's gloves
         Mall. Chapeau +2 |          5 |                 Sack | GEO,SCH,BLM                                                                              |                                          mallquis chapeau +2
           Beck. Spats +1 |          5 |              Satchel | SMN                                                                                      |                                          beckoner's spats +1
              Antitail +1 |          5 |                 Sack | THF,WAR                                                                                  |                                                  antitail +1
       Glassblower's Belt |          5 |             Wardrobe | DRG,BLU                                                                                  |                                           glassblower's belt
         Ankusa Gloves +1 |          5 |              Satchel | BST                                                                                      |                                             ankusa gloves +1
         Glyphic Spats +1 |          5 |                 Case | SMN                                                                                      |                                             glyphic spats +1
         Pixie Hairpin +1 |          5 |                 Sack | SCH,BLM                                                                                  |                                             pixie hairpin +1
       Strophadic Earring |          5 |           Wardrobe 2 | GEO,RDM,SCH,BLM                                                                          |                                           strophadic earring
         Hattori Ningi +2 |          5 |               Locker | NIN                                                                                      |                                             hattori ningi +2
        Dragoon's Earring |          5 |           Wardrobe 2 | DRG                                                                                      |                                            dragoon's earring
          Moonbow Whistle |          5 |             Wardrobe | BRD                                                                                      |                                              moonbow whistle
        Bagua Mitaines +1 |          5 |                 Safe | GEO                                                                                      |                                            bagua mitaines +1
        Leth. Houseaux +1 |          5 |               Locker | RDM                                                                                      |                                         lethargy houseaux +1
          Glyphic Doublet |          5 |              Satchel | SMN                                                                                      |                                              glyphic doublet
         Viti. Chapeau +1 |          5 |               Safe 2 | RDM                                                                                      |                                         vitiation chapeau +1
           Belenus's Cape |          5 |               Safe 2 | RNG                                                                                      |                                               Belenus's cape
             Uk'uxkaj Cap |          5 |              Satchel | DNC,MNK                                                                                  |                                                 Uk'uxkaj cap
               Lanun Frac |          5 |            NOT FOUND | COR                                                                                      |                                                   lanun frac
               Umuthi Hat |          5 |           Wardrobe 3 | WHM,BRD                                                                                  |                                                   umuthi hat
            Kasuga Domaru |          5 |              Satchel | SAM                                                                                      |                                                kasuga domaru
             Bhikku Crown |          5 |              Satchel | MNK                                                                                      |                                                 bhikku crown
               Feast Hose |          5 |           Wardrobe 4 | NIN,BLU,THF                                                                              |                                                   feast hose
           Lanun Tricorne |          5 |            NOT FOUND | COR                                                                                      |                                               lanun tricorne
             Futhark Coat |          5 |              Satchel | RUN                                                                                      |                                                 futhark coat
          Geo. Sandals +3 |          5 |                 Case | GEO                                                                                      |                                          geomancy sandals +3
           Valorous Mitts |          5 |                 Sack | SAM                                                                                      |                                               valorous mitts
            Yokaze Mantle |          5 |           Wardrobe 4 | NIN                                                                                      |                                                yokaze mantle
        Lethargy Sayon +1 |          5 |                 Sack | RDM                                                                                      |                                            lethargy sayon +1
          Bookworm's Cape |          5 |                 Case | SCH                                                                                      |                                              bookworm's cape
            Swith Cape +1 |          5 |            NOT FOUND | RDM                                                                                      |                                                swith cape +1
                Bane Cape |          5 |                 Sack | BLM                                                                                      |                                                    bane cape
              Sibyl Scarf |          5 |             Wardrobe | GEO,NIN,RDM,SCH,BLM                                                                      |                                                  Sibyl scarf
          Mdk. Shalwar +1 |          6 |                 Sack | SMN,BRD                                                                                  |                                          Marduk's shalwar +1
        Pursuer's Doublet |          6 |                 Sack | THF                                                                                      |                                            pursuer's doublet
         Acad. Mortar. +3 |          6 |                 Safe | SCH                                                                                      |                                    academic's mortarboard +3
         Atro. Chapeau +1 |          6 |            NOT FOUND | RDM                                                                                      |                                           atrophy chapeau +1
          Ptero. Armet +3 |          6 |           Wardrobe 3 | DRG                                                                                      |                                         pteroslaver armet +3
              Aife's Ring |          6 |           Wardrobe 2 | THF                                                                                      |                                                  Aife's ring
      Vis. Fng. Gaunt. +3 |          6 |           Wardrobe 4 | DRG                                                                                      |                                   vishap finger gauntlets +3
              Nereid Ring |          6 |           Wardrobe 2 | BRD                                                                                      |                                                  nereid ring
              Queller Rod |          6 |                 Safe | WHM                                                                                      |                                                  queller rod
            Cab. Leggings |          6 |            NOT FOUND | PLD                                                                                      |                                         caballarius leggings
            Bhikku Cyclas |          6 |               Locker | MNK                                                                                      |                                                bhikku cyclas
            Elan Strap +1 |          6 |               Locker | RDM,SMN,SCH,BLM                                                                          |                                                elan strap +1
             Hes. Gaiters |          6 |               Locker | MNK                                                                                      |                                          hesychast's gaiters
            Twilight Helm |          6 |           Wardrobe 3 | BST,DRG,WAR,PLD,SAM                                                                      |                                                Twilight helm
          Navarch's Gants |          6 |               Safe 2 | COR                                                                                      |                                              navarch's gants
       Beckoner's Doublet |          6 |               Locker | SMN                                                                                      |                                           beckoner's doublet
           Barataria Ring |          6 |           Wardrobe 2 | COR                                                                                      |                                               barataria ring
            Savas Jawshan |          6 |               Locker | BST,WAR,SAM                                                                              |                                                savas jawshan
          Rhapsode's Cape |          6 |              Satchel | BRD                                                                                      |                                              rhapsode's cape
            Fili Calot +1 |          7 |                 Case | BRD                                                                                      |                                                fili calot +1
          Mummu Bonnet +2 |          7 |               Safe 2 | NIN,MNK,RNG,THF                                                                          |                                              Mummu bonnet +2
        Rev. Gauntlets +1 |          7 |            NOT FOUND | PLD                                                                                      |                                       reverence gauntlets +1
            Twilight Mail |          7 |           Wardrobe 4 | BST,DRG,WAR,PLD,SAM                                                                      |                                                Twilight mail
              Wanion Belt |          7 |             Wardrobe | GEO,BLU,THF                                                                              |                                                  wanion belt
       Inyan. Crackows +2 |          7 |              Satchel | WHM,SMN                                                                                  |                                          Inyanga crackows +2
          Chironic Gloves |          7 |                 Case | SCH,BRD                                                                                  |                                              chironic gloves
                   Aettir |          7 |               Safe 2 | RUN                                                                                      |                                                       Aettir
               Sleep Bolt |          7 |            NOT FOUND | RNG                                                                                      |                                                   sleep bolt
        Mallquis Trews +1 |          7 |               Safe 2 | GEO,SCH,BLM                                                                              |                                            mallquis trews +1
          Hangaku-no-Yumi |          7 |               Safe 2 | RNG                                                                                      |                                              Hangaku-no-Yumi
        Ptero. Greaves +3 |          7 |           Wardrobe 4 | DRG                                                                                      |                                       pteroslaver greaves +3
            Amalric Gages |          7 |           Wardrobe 4 | GEO,RDM,SCH,BLM                                                                          |                                                amalric gages
            Acad. Loafers |          7 |                 Safe | SCH                                                                                      |                                           academic's loafers
          Glyphic Horn +1 |          7 |              Satchel | SMN                                                                                      |                                              glyphic horn +1
          Musical Earring |          7 |           Wardrobe 2 | BRD                                                                                      |                                              musical earring
               Horn Arrow |          7 |            NOT FOUND | RNG                                                                                      |                                                   horn arrow
             Light Gorget |          7 |            NOT FOUND | PLD                                                                                      |                                                 light gorget
              Elephas Axe |          7 |            NOT FOUND | RUN                                                                                      |                                                  elephas axe
           Buremte Gloves |          7 |                 Safe | BLU,RUN,THF,WAR,PLD,SAM                                                                  |                                               Buremte gloves
          Conveyance Cape |          7 |              Satchel | SMN                                                                                      |                                              conveyance cape
             Mending Cape |          7 |           Wardrobe 4 | WHM                                                                                      |                                                 mending cape
             Apogee Crown |          7 |               Locker | SMN                                                                                      |                                                 apogee crown
        Fili Rhingrave +1 |          7 |                 Sack | BRD                                                                                      |                                            fili rhingrave +1
            Count's Cuffs |          7 |           Wardrobe 4 | NIN,MNK                                                                                  |                                                count's cuffs
         Emicho Gambieras |          7 |               Safe 2 | BST                                                                                      |                                             emicho gambieras
          Gende. Galoshes |          7 |                 Case | WHM,SCH,BRD                                                                              |                                          Gendewitha galoshes
               Ark Scythe |          7 |            NOT FOUND | NIN,BLU,THF                                                                              |                                                   ark scythe
               Light Belt |          7 |            NOT FOUND | PLD                                                                                      |                                                   light belt
                Terpander |          8 |                 Case | BRD                                                                                      |                                                    Terpander
          Theo. Bliaut +2 |          8 |                 Safe | WHM                                                                                      |                                          theophany bliaut +2
          Academic's Gown |          8 |            NOT FOUND | SCH                                                                                      |                                              academic's gown
           Emicho Coronet |          8 |                 Sack | BST                                                                                      |                                               emicho coronet
       Nukumi Quijotes +1 |          8 |              Satchel | BST                                                                                      |                                           nukumi quijotes +1
             Zoran's Belt |          8 |            NOT FOUND | PLD                                                                                      |                                                 Zoran's belt
           Summoning Belt |          8 |             Wardrobe | SMN                                                                                      |                                               summoning belt
              Tunglmyrkvi |          8 |            NOT FOUND | PLD                                                                                      |                                                  Tunglmyrkvi
            Excelsis Ring |          8 |           Wardrobe 2 | GEO,RDM,SCH,BLM                                                                          |                                                excelsis ring
        Flamma Korazin +2 |          8 |           Wardrobe 3 | PLD                                                                                      |                                            flamma korazin +2
          Chatoyant Staff |          8 |           Wardrobe 3 | GEO,RDM,BLM,BRD                                                                          |                                              chatoyant staff
           Vishap Mail +3 |          8 |           Wardrobe 3 | DRG                                                                                      |                                               vishap mail +3
         Apogee Dalmatica |          8 |                 Sack | SMN                                                                                      |                                             apogee dalmatica
           Skulker's Vest |          8 |                 Case | THF                                                                                      |                                               skulker's vest
